,,Type Revenue collecting,"Dinner, Lunch, Wine, Delivery","Bữa tối, Bữa trưa, Rượu, Giao hàng để gửi doanh thu hàng ngày xuất hóa đơn đỏ",YES,YES,YES,YES,YES,YES,,
,,Inventry data,to submit daily revenue to issue Red invoice,Để gửi doanh thu hàng ngày xuất hóa đơn đỏ,YES,YES,YES,YES,YES,YES,,
,,Connect to TAX office,to submit daily revenue to issue Red invoice,Để gửi doanh thu hàng ngày xuất hóa đơn đỏ,YES,YES,YES,YES,YES,YES,,
,,ACT software conection,MISA AMIS connectivity,Kết nối MISA AMIS,NO,NO,YES,NO,YES,NO,Need to talk to ACT,
,MUST x Marketing value,Digital marketing revenue attribution,Separates revenue generated via digital marketing,Tách biệt doanh thu tạo ra thông qua tiếp thị kỹ thuật số,YES,YES,NO,NO,NO,YES,,
,,Channel-based visit tracking,Tracks visits by acquisition channel,Theo dõi lượt truy cập theo kênh thu hút,NO,YES,YES,NO,YES,YES,,
,,Campaign / event ID management,Links revenue to campaigns or events,Liên kết doanh thu với các chiến dịch hoặc sự kiện,NO,YES,YES,NO,YES,YES,,
,,Event-day revenue extraction,Extracts revenue generated on event days,Trích xuất doanh thu tạo ra vào các ngày sự kiện,YES,YES,YES,YES,YES,YES,,
,,Cost per acquisition (CPA) calculation,Calculates cost per acquired visitor,Tính toán chi phí cho mỗi khách truy cập có được,NO,NO,NO,NO,NO,NO,,
,,Marketing cost input,Marketing cost input,Nhập chi phí tiếp thị,NO,NO,YES,NO,NO,YES,,
,,SNS tracking,"Tracking customer from GoogleMap, ZaloOA, FB or TikTok","Theo dõi khách hàng từ GoogleMap, ZaloOA, FB hoặc TikTok",YES,YES,NO,NO,YES,YES,,
,,Return on investment (ROI) calculation,Return on investment (ROI) calculation,Tính toán tỷ suất hoàn vốn (ROI),NO,NO,NO,NO,NO,NO,,
,,Weekly marketing report generation,Generates weekly marketing performance reports,Tạo báo cáo hiệu suất tiếp thị hàng tuần,NO,NO,NO,NO,NO,YES,,
,WANT x Business value,Table turnover rate calculation,Measures table utilization efficiency,Đo lường hiệu quả sử dụng bàn,NO,NO,YES,NO,YES,YES,,
,,Revenue by time of day,Analyzes revenue by time segments,Phân tích doanh thu theo phân khúc thời gian,YES,YES,YES,YES,YES,YES,,
,,Weekday vs weekend analysis,Compares weekday and weekend performance,So sánh hiệu suất trong tuần và cuối tuần,YES,YES,YES,YES,YES,YES,,
,,Group booking tracking,Tracks group bookings and visits,Theo dõi đặt bàn và lượt ghé thăm theo nhóm,YES,YES,YES,NO,YES,NO,,
,,Average revenue per group,Measures average revenue per group,Đo lường doanh thu trung bình trên mỗi nhóm,YES,YES,YES,NO,YES,NO,,
,,Business-use tagging,Business-use tagging,Gắn thẻ sử dụng cho mục đích kinh doanh,YES,YES,YES,NO,YES,NO,,
,,Reservation rate calculation,Calculates percentage of visits with reservations,Tính toán tỷ lệ phần trăm lượt ghé thăm có đặt chỗ,YES,NO,YES,NO,YES,NO,,
,,Repeat visit rate calculation,Measures customer repeat rate,Đo lường tỷ lệ khách hàng quay lại,YES,NO,YES,NO,YES,YES,,
,,KPI,KPI (Daily and Weekly) reaching rate,Tỷ lệ đạt KPI (Hàng ngày và Hàng tuần),NO,NO,YES,NO,NO,NO,,
,,KGI,KGI (monthly reaching rate),Tỷ lệ đạt KGI (hàng tháng),NO,NO,YES,NO,NO,NO,,
,,HR software connectivity,MISA HIM connection,Kết nối MISA HIM,NO,NO,YES,NO,YES,NO,,
,WANT x Marketing value,Post-event revenue tracking,Tracks revenue impact after events,Theo dõi tác động doanh thu sau các sự kiện,YES,NO,YES,NO,YES,YES,,
,,Influencer management (KOL/KOC),"Manages influencers, costs, and posts","Quản lý người có ảnh hưởng (KOL/KOC), chi phí và bài đăng",NO,NO,NO,NO,NO,NO,,
,,Revenue by influencer,Measures revenue contribution per influencer,Đo lường sự đóng góp doanh thu trên mỗi người có ảnh hưởng,NO,NO,YES,NO,YES,YES,,
,,Social media reach tracking,Retrieves reach data from social platforms,Truy xuất dữ liệu tiếp cận từ các nền tảng xã hội,NO,NO,NO,NO,NO,YES,,
,,Save rate calculation,Calculates save rate as intent indicator,Tính toán tỷ lệ lưu làm chỉ báo ý định,NO,NO,NO,NO,NO,NO,,
,,Visit conversion rate calculation,Measures conversion from reach to visits,Đo lường chuyển đổi từ lượt tiếp cận sang lượt ghé thăm,NO,NO,NO,NO,NO,NO,,
,,Customer lifetime value calculation,Calculates lifetime customer value,Tính toán giá trị trọn đời của khách hàng,NO,NO,YES,NO,YES,YES,,
,,A/B campaign comparison,Compares performance across initiatives,So sánh hiệu suất giữa các sáng kiến,NO,NO,NO,NO,NO,NO,,
